.aspx	Active Server Page Extended ASP.NET script file
.json	JavaScript object notation file
.jsp	JAVA Server page file
.do	Java Servlet file
.jad	Java application descriptor file
.ser	Java serialized object file
.htm	HTML Hypertext Markup Language web page file
.php	PHP script or page
.srz	DataFlex source file
.cfm	Adobe ColdFusion template file
.xml	XML document file
.pod	Perl POD-formated text
.atomsvc	Atom Syndication file format
.abs	GNU C Compiler ELF/DWARF format absolute file
.pl	Perl script language source code file
.jsf	Adobe Fireworks batch script
.pou	PLCEdit program organisation unit file
.cod	Blackberry compiled Java code
.rdf	Resource Description Framework RSS feed file
.asp	Active Server Page script page
.luac	Lua compiled source code file
.asm	Assembler source code file
.js	JavaScript file
.ejs	Embedded JavaScript template file
.lib	Microsoft Linker input library file
.jse	JScript encoded script file
.vcxproj	Microsoft Visual Studio Visual C++ project file
.ipb	iPhone Perl script file
.arxml	AUTOSAR XML file
.bas	Basic source code file
.fs	Microsoft Visual F# source code file
.cms	CaseMap case script file
.hbs	JavaScript Handlebars.js file
.lxk	COREX lexicon link-up file
.cs	Microsoft Visual Studio Visual C#.NET source file
.s	Source code file
.ss	Scheme source code file
.smali	Google Android Smali Assembly Language developer file
.vls	Visual Localize script file
.pyc	Compiled Python script source code
.scr	Script file
.ave	ArcView Avenue script file
.pdb	Microsoft Visual Studio Visual C++ program database file
.mrl	MRLR Multimedia Retrival Markup Language file
.src	Generally source code file
.axd	ASP.NET web handler file
.xla	Microsoft Excel add-in file
.sax	Sedona Framework XML application file
.dtd	Document Type Definition file
.dvb	Autodesk AutoCAD VBA source code file
.xsl	XML eXtensible stylesheet
.v4e	Microsoft Windows Script Host file
.spr	Microsoft FoxPro form source file
.isa	Adobe Photoshop ImageReady action file
.form	Java form file
.rcc	Resource script file
.asi	Assembly language header file
.bat	Batch file (executable)
.ino	Inno Setup script file
.cgi	Common Gateway Interface script file
.fmb	Oracle binary source code file
.rss	Really Simple Syndication - RSS file format
.mzp	Autodesk 3D Studio Max MAXScript zip package
.aia	Adobe Illustrator action file
.atp	Microsoft Visual Studio Visual SourceSafe ACT project file
.jdp	BlackBerry JDE file
.xsd	XML schema description file
.nupkg	NuGet source code package file
.java	Java language source code file
.prg	Program source file
.idb	Microsoft Visual Studio developer intermediate debug file
.graphml	Graph Markup Language file
.ws	Microsoft Windows script file
.mrc	mIRC script file
.mm	Apple Xcode core Objective-C program source code file
.py	Python script language source code
.rss	Rockwell Logix 500 SLC-5 software file
.tra	True BASIC applet file
.cpp	C++ main source code file format
.rc	Microsoft Visual Studio Visual C/C++ resource script file
.cshtml	ASP.Net web page file
.scs	Lotus ScreenCam script file
.xlm	Microsoft Excel macro
.rfs	RealFlow script file
.c	C/C++main source code file format
.txml	commerce eXtensible Markup Language file
.gcode	G-code source file
.action	Mac OS X Automator action file
.lua	Lua script file
.vlx	AutoCAD AutoLISP macro application file
.vip	Microsoft Visual Studio Visual Basic InterDev project file
.vbp	Microsoft Visual Basic project file
.gypi	Chrome/Chromium include file
.scb	Command & Conquer World Builder script file
.prl	Perl script file
.bp	DataFlex business process object file
.sh	Unix Bourne Shell (Bash) file
.rbf	Microsoft Windows rollback script
.mwp	STEP7-Micro WIN file
.o	Object file
.gml	Graphlet Graphscript file
.phtml	PHP Web page
.eaf	ELAN Annotation Format file
.sln	Microsoft Visual Studio solution file
.pyo	Python compiled file
.dwp	Microsoft Office SharePoint portal server dashboard web part file
.cmake	CMake module file
.mc	Modula-3 M3CG intermediate language file
.resx	Microsoft Visual Studio .NET XML resource template file
.dpk	Delphi package source file
.rpy	Python script file
.lss	LotusScript source code file
.cpb	Comicino Studio project file
.csb	Corel PHOTO-PAINT script file
.fas	AutoCAD Fast-load Auto LISP file
.dep	Microsoft Visual Basic Setup Wizard dependency file
